"UserID","full","sur","family","Photo","active","date","place","terms","first_start","last_end","first_cv"
1896,"Arne MELCHIOR","Arne","MELCHIOR","https://www.europarl.europa.eu/mepphoto/1896.jpg",FALSE,"1924-10-22T00:00:00","Frederiksberg","3","1994-03-01T00:00:00","1994-07-18T00:00:00","Commercial school and training in the textile, paper and advertising sectors."
4508,"Erik MEIJER","Erik","MEIJER","https://www.europarl.europa.eu/mepphoto/4508.jpg",FALSE,"1944-12-05T00:00:00","Amsterdam","5-6","1999-07-20T00:00:00","2009-07-13T00:00:00","Higher degree in social geography (1972)."
1140,"José MENDES BOTA","José","MENDES BOTA","https://www.europarl.europa.eu/mepphoto/1140.jpg",FALSE,"1955-08-04T00:00:00","Loulé","3-4","1989-07-25T00:00:00","1999-07-19T00:00:00","Graduate in economics."
2007,"José María MENDILUCE PEREIRO","José María","MENDILUCE PEREIRO","https://www.europarl.europa.eu/mepphoto/2007.jpg",FALSE,"1951-04-14T00:00:00","Madrid","4-5","1994-07-19T00:00:00","2004-07-19T00:00:00","Studied economics (Complutense University, Madrid). Director of the Trade Division of the Spanish-Dutch Chamber of Commerce (1978-1979). Assistant to trade adviser at the Spanish embassy in Denmark (1979-1980)."
21814,"Domenico MENNITTI","Domenico","MENNITTI","https://www.europarl.europa.eu/mepphoto/21814.jpg",FALSE,"1939-08-11T00:00:00","Termoli (CB)","5","2001-06-14T00:00:00","2004-07-19T00:00:00","Secondary school-leaving certificate in classical subjects (1958). Editor of 'Proposta' magazine (1985-1991), the 'Roma' daily newspaper (1991-1992) and 'Ideazione' magazine (since 1994); leader writer of 'Il Giornale' and 'Il Tempo'."
1041,"Winfried MENRAD","Winfried","MENRAD","https://www.europarl.europa.eu/mepphoto/1041.jpg",FALSE,"1939-02-09T00:00:00","Schwäbisch Gmünd","3-4-5","1989-07-25T00:00:00","2004-07-19T00:00:00","Qualified teacher of commercial subjects (1965). Headmaster."
1077,"Friedrich MERZ","Friedrich","MERZ","https://www.europarl.europa.eu/mepphoto/1077.jpg",FALSE,"1955-11-11T00:00:00","Brilon","3","1989-07-25T00:00:00","1994-07-18T00:00:00","Studied law; qualified as a judge 1985; in practice as a lawyer since 1986."
1583,"Meinolf MERTENS","Meinolf","MERTENS","https://www.europarl.europa.eu/mepphoto/1583.jpg",FALSE,"1923-06-04T00:00:00","Bönkhausen (Westfalen)","1-2","1979-07-17T00:00:00","1989-07-24T00:00:00","Secondary school-leaving certificate (Abitur) 1942. War service 1942-1945. Attended an agricultural college. Passed examination to qualify as master farmer."
4419,"Reinhold MESSNER","Reinhold","MESSNER","https://www.europarl.europa.eu/mepphoto/4419.jpg",FALSE,"1944-09-17T00:00:00","Brixen-Bressanone (BZ)","5","1999-07-20T00:00:00","2004-07-19T00:00:00","Chartered surveyor (1966). Mountaineer since 1949. Farmer since 1989. Author since 1970."
1445,"Alman METTEN","Alman","METTEN","https://www.europarl.europa.eu/mepphoto/1445.jpg",FALSE,"1948-10-09T00:00:00","Haarlem","2-3-4","1984-07-24T00:00:00","1999-07-19T00:00:00","Degree in sociology (University of Amsterdam). Former lecturer (University of Amsterdam)."
