"UserID","full","sur","family","Photo","active","date","place","Gender","Education (qualifications and diplomas)"
197612,"Annunziata Mary REES-MOGG","Annunziata Mary","REES-MOGG","https://www.europarl.europa.eu/mepphoto/197612.jpg",FALSE,"1979-03-25T00:00:00","Bath","F",""
197790,"Luisa REGIMENTI","Luisa","REGIMENTI","https://www.europarl.europa.eu/mepphoto/197790.jpg",FALSE,"1958-06-05T00:00:00","Roma","F","1986-1986 : Degree in Medicine and Surgery - ‘La Sapienza’ University, Rome, 1986-1989 : MA in Forensic and Insurance Medicine - ‘La Sapienza’ University, Rome – Institute of Forensic and Insurance Medicine"
197681,"Sira REGO","Sira","REGO","https://www.europarl.europa.eu/mepphoto/197681.jpg",FALSE,"1973-11-20T00:00:00","Valencia","F","09/2001-06/2004 : Degree in Nutrition, Autonomous University of Madrid"
197488,"Guido REIL","Guido","REIL","https://www.europarl.europa.eu/mepphoto/197488.jpg",TRUE,"1970-01-19T00:00:00","GELSENKIRCHEN","M",""
197413,"Karlo RESSLER","Karlo","RESSLER","https://www.europarl.europa.eu/mepphoto/197413.jpg",TRUE,"1989-12-26T00:00:00","Zagreb","M",""
197832,"Diana RIBA I GINER","Diana","RIBA I GINER","https://www.europarl.europa.eu/mepphoto/197832.jpg",TRUE,"1975-02-21T00:00:00","Barcelona","F",""
197787,"Antonio Maria RINALDI","Antonio Maria","RINALDI","https://www.europarl.europa.eu/mepphoto/197787.jpg",TRUE,"1955-02-27T00:00:00","Roma","M","1973 : Secondary school-leaving certificate in scientific subjects from the San Giuseppe De Merode Institute of the Fratelli delle Scuole Cristiane (FSC – Fratres Scholarum Christianorum), Rome, 1979 : Degree in Economics from LUISS University in Rome. Thesis on economic and financial planning, entitled ‘Causes of diversification and ongoing evolution of organisational structures in the FIAT Group’, 1979-1980 : Completion of military service as a reserve officer of the Guardia di Finanza military corps"
197815,"Sheila RITCHIE","Sheila","RITCHIE","https://www.europarl.europa.eu/mepphoto/197815.jpg",FALSE,"1957-05-18T00:00:00","Perth","F","1979 : LLB (University of Aberdeen)"
197615,"Jérôme RIVIÈRE","Jérôme","RIVIÈRE","https://www.europarl.europa.eu/mepphoto/197615.jpg",TRUE,"1964-07-08T00:00:00","SURESNES","M",""
197801,"Franco ROBERTI","Franco","ROBERTI","https://www.europarl.europa.eu/mepphoto/197801.jpg",TRUE,"1947-11-16T00:00:00","Napoli","M",""
197785,"Eugenia RODRÍGUEZ PALOP","Eugenia","RODRÍGUEZ PALOP","https://www.europarl.europa.eu/mepphoto/197785.jpg",TRUE,"1970-03-09T00:00:00","Llerena","F",""
197584,"Sándor RÓNAI","Sándor","RÓNAI","https://www.europarl.europa.eu/mepphoto/197584.jpg",TRUE,"1988-11-22T00:00:00","Budapest","M",""
197776,"Rob ROOKEN","Rob","ROOKEN","https://www.europarl.europa.eu/mepphoto/197776.jpg",TRUE,"1969-10-05T00:00:00","Groningen","M",""
